Periode,Année,Mois,Production totale brute d'electricite (en GWh),Production totale nette d'electricite (en GWh),Production brute d'electricite primaire (en GWh),Production nette d'electricite primaire (en GWh),Production brute d'electricite nucleaire (en GWh),Production nette d'electricite nucleaire (en GWh),Production brute d'electricite hydraulique (en GWh),Production nette d'electricite hydraulique (en GWh),Production brute d'electricite eolienne (en GWh),Production nette d'electricite eolienne (en GWh),Production brute d'electricite photovoltaeque (en GWh),Production nette d'electricite photovoltaeque (en GWh),Production brute d'electricite thermique (en GWh),Production nette d'electricite thermique (en GWh),electricite absorbee pour les pompages (en GWh),Total des importations physiques d'electricite (en GWh),Total des exportations physiques d'electricite (en GWh),Energie appelee reelle yc pertes (consommation calculee yc pertes) (en GWh),Livraisons en basse tension (BT : FC + Corse) (en GWh),Livraisons en moyenne tension (MT : FC + Corse) (en GWh),Livraisons en haute tension (en GWh),Energie appelee reelle yc pertes corrigee du climat (en GWh),Livraisons en basse tension corrigees du climat (en GWh),Livraisons en moyenne tension corrigees du climat (en GWh),Consommation d'electricite primaire (en GWh),Consommation d'electricite primaire corrigee du climat (en GWh),Puissance maximale appelee (en GW),Indice de rigueur climatique pour la France metropolitaine (ref.1 pour la periode 1986-2015) (sans unite)
dec.84,1984,12,31398.586470,30024.000000,26760.026470,25648.000000,20971.123270,19930.000000, 5788.903200, 5718.000000,    0.000000,    0.000000,    0.000000,    0.000000, 4638.560000, 4376.000000,  185.000000,  748.000000, 2584.000000,28003.000000,12153.000000, 6147.000000, 5826.000000,27674.259204,11898.815982, 6117.957205,23627.000000,23371.816679,   46.000000,    1.047471
janv.85,1985,1,37587.088708,35902.000000,28237.888708,27082.000000,21954.934308,20876.000000, 6282.954400, 6206.000000,    0.000000,    0.000000,    0.000000,    0.000000, 9349.200000, 8820.000000,  233.000000,  880.000000, 2173.000000,34376.000000,16008.000000, 7855.000000, 6014.000000,30728.963957,13193.753760, 7499.520389,25556.000000,23043.753430,   60.000000,    1.474003
fevr.85,1985,2,30320.470402,29003.000000,24993.970402,23978.000000,19239.488802,18294.000000, 5754.481600, 5684.000000,    0.000000,    0.000000,    0.000000,    0.000000, 5326.500000, 5025.000000,  211.000000,  486.000000, 2124.000000,27154.000000,11385.000000, 6716.000000, 5580.000000,26558.353613,10927.451594, 6654.085267,22129.000000,21665.340673,   50.900000,    1.093048
X1985.03.01,1985,3,32349.54998,30950.00000,26963.68998,25869.00000,20719.20678,19701.00000, 6244.48320, 6168.00000,    0.00000,    0.00000,    0.00000,    0.00000, 5385.86000, 5081.00000,  166.00000,  476.00000, 2548.00000,28712.00000,11694.00000, 6789.00000, 6445.00000,26857.03462,10284.20317, 6588.30029,23631.00000,22083.70493,   46.30000,    1.30463
avr.85,1985,4,27250.739011,26135.000000,24332.559011,23382.000000,17686.153011,16817.000000, 6646.406000, 6565.000000,    0.000000,    0.000000,    0.000000,    0.000000, 2918.180000, 2753.000000,  269.000000,  321.000000, 2504.000000,23683.000000, 8035.000000, 6206.000000, 6774.000000,23535.725629, 7923.638856, 6186.677914,20930.000000,20780.725701,   42.500000,    1.031232
X1985.05.01,1985,5,25574.872470,24573.000000,23250.292470,22380.000000,15869.896470,15090.000000, 7380.396000, 7290.000000,    0.000000,    0.000000,    0.000000,    0.000000, 2324.580000, 2193.000000,  280.000000,  453.000000, 2177.000000,22569.000000, 7302.000000, 5811.000000, 6926.000000,20976.340587, 6125.700946, 5573.177827,20376.000000,18554.891971,   40.200000,    1.426726
X1985.06.01,1985,6,23105.263,22221.000,20788.103,20035.000,13510.972,12847.000, 7277.131, 7188.000,    0.000,    0.000,    0.000,    0.000, 2317.160, 2186.000,  187.000,  365.000, 1716.000,20683.000, 5925.000, 5472.000, 6756.000,20683.000, 5925.000, 5472.000,18497.000,18497.000,   36.400,    1.000
juil.85,1985,7,24572.820,23559.000,21831.660,20973.000,16025.546,15238.000, 5806.114, 5735.000,    0.000,    0.000,    0.000,    0.000, 2741.160, 2586.000,  171.000,  353.000, 2270.000,21471.000, 5897.000, 6095.000, 7176.000,21471.000, 5897.000, 6095.000,18885.000,18885.000,   36.100,    1.000
aoet.85,1985,8,21619.219,20707.000,19739.839,18934.000,15288.316,14537.000, 4451.523, 4397.000,    0.000,    0.000,    0.000,    0.000, 1879.380, 1773.000,  149.000,  258.000, 1930.000,18886.000, 5435.000, 4839.000, 6332.000,18886.000, 5435.000, 4839.000,17113.000,17113.000,   33.500,    1.000
sept.85,1985,9,25045.64,23920.00,20889.38,19999.00,17198.17,16353.00, 3691.21, 3646.00,    0.00,    0.00,    0.00,    0.00, 4156.26, 3921.00,  143.00,  277.00, 2744.00,21310.00, 7218.00, 4464.00, 7041.00,21310.00, 7218.00, 4464.00,17389.00,17389.00,   36.70,    1.00
oct.85,1985,10,28613.579777,27291.000000,23334.779777,22311.000000,20001.958977,19019.000000, 3332.820800, 3292.000000,    0.000000,    0.000000,    0.000000,    0.000000, 5278.800000, 4980.000000,  142.000000,  367.000000, 2963.000000,24553.000000, 8564.000000, 5357.000000, 7277.000000,23502.167650, 7774.911966, 5238.844758,19573.000000,18607.751369,   45.900000,    1.225537
